"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"Greece","GRC","1981","","","","18.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.1598892211914","0.96696001291275","",""
"Hong Kong SAR, China","HKG","1980","119999.999999999","","","","0.0382166851131616","0.108258212219132","","2.15085626263017","29999.9993294477","","1090000.0333786","","","","","","","","","","100000.001490116","3640000.0732392","540000.021457672","","","","","24649999.6185303","10890000.3433228","24649999.6185303","10890000.3433228","","","","","","59999.9986588955","","7190000.05722046","","","","","","","","107.421463012695","1.0025600194931","11250000",""
"Hungary","HUN","1976","","","","32.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0514602661133","0.963429987430573","",""
"IDA & IBRD total","IBT","2008","","","291","60.4834852378729","0.471359439894816","1.51234983178468","1.40369177668938","15.0543436936353","903550005.396828","9619870008.28982","4596089972.65995","232939999.785274","2187830000.27202","147899997.565895","1614410005.8116","80199998.7848103","340660005.869344","34069999.7134507","16710000.295192","1528769992.75759","744620002.511889","67589950105.5982","5177899978.95993","16423950069.9174","","","","82904850634.5749","84962259992.1227","82904850634.5749","84962259992.1227","","47619999.9954552","369099999.897182","","41699999.883771","490040000.408888","266659999.638796","138599998.913705","706379995.107651","33479999.8700619","94989999.7189641","293839999.891818","","","","87.1995086669922","0.95999","","56.8022425919126"
"IDA blend","IDB","2013","","","540","96.2415625119011","1.2145279389629","6.99235000375156","4.78449043974585","23.2046359344118","27560000.5574525","807039984.554052","613059999.793768","20709999.6060133","64749998.0218709","36539999.2391467","102860001.16542","-160000.009462238","176660004.802049","1659999.99456108","829999.983310699","135280003.061518","57099999.8487533","7777679936.9622","1320210005.03376","2323169955.30762","","","","10873500107.7652","11361560053.8254","10873500107.7652","11361560053.8254","5100772.26161957","3269999.98092651","41900000.3244728","7534616.18442089","10188529.0145874","47402884.0810061","33462584.401248","14984404.116869","110840605.735779","85873.5218644142","","49934889.9126053","19976477.4292707","","1.62851970893165","73.9284591674805","0.91369","","65.7402860987299"
"IDA blend","IDB","1976","","","","","2.5382581136473","","","9.44881394200585","6219999.81254339","44910001.5126168","45910000.6688387","","44970000.5594641","8919999.95149672","18290000.5541742","","","","","25980000.9727478","19130000.5055964","993250009.622424","71520000.077784","228000000","","","","6197300018.66818","1731229992.80692","6197300018.66818","1731229992.80692","","","","","","20929999.6346235","","290000.004693865","6089999.91044402","","3889999.95402992","12209999.8965859","","","","","0.65799","",""
"Jordan","JOR","2019","2308020000","5.5","","15.6","6.28435693881203","51.3867199719338","11.9545227135282","276.90297396628","1370000.00476837","160990005.493164","85599998.4741211","699999.988079071","7789999.96185303","200000.002980232","25270000.4577637","660000.026226044","0","9999.99977648258","159999.996423721","9920000.07629395","18409999.8474121","2271490038.71344","167440002.441406","1106410034.17969","","","","2820679931.64063","2797189941.40625","2820679931.64063","2797189941.40625","152939.990162849","474805.742502213","742349.982261658","2205640.07759094","","349999.994039536","1037846.20761871","13979884.147644","102630996.704102","","","8912170.41015625","1211437.58296967","","0.1","81.672721862793","1.0001300573349","224800000","10.5799999982119"
"Kenya","KEN","1991","418250000","","","104.3","11.7828336500852","53.6127417228918","33.1485368932433","37.373407991491","16709999.0844727","14720000.2670288","197850006.103516","","26389999.3896484","300000.011920929","5199999.80926514","","","","","27360000.6103516","5570000.17166138","623350003.212691","66279998.7792969","63000000","","","","1256310058.59375","916460021.972656","1256310058.59375","916460021.972656","","","2759999.99046326","","","13960000.038147","1769999.98092651","12689999.5803833","8180000.30517578","","1529999.97138977","10640000.3433228","","","6.2","","","217920000","56.6699981689453"
"Kuwait","KWT","1968","10000","","","79.6","0.0004503152484466","0.00208830404689","","0.0158000094428483","","","9999.99977648258","","","","","","","","","","","9999.99977648258","","","","","","79999.9982118607","9999.99977648258","79999.9982118607","9999.99977648258","","","","","","","","","","","","","","","","","","",""
"Lebanon","LBN","1997","129800000","","","23.1","1.62565682048589","5.67648503833197","","71.4077752678748","1659999.9666214","21770000.4577637","750000","490000.009536743","639999.985694885","9999.99977648258","6130000.11444092","","","","","3829999.92370605","800000.011920929","94040001.2005121","479999.989271164","-1000000","-29428","","","359410003.662109","261239990.234375","359410003.662109","261239990.234375","","","3190000.05722046","","","3099999.90463257","300000.011920929","1740000.00953674","2299999.95231628","","1669999.95708466","","","","0.1","","","42210000","29.6700005531311"
"Luxembourg","LUX","1961","","","","35.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao SAR, China","MAC","2003","10000","94","","","","","","","","","79999.9982118607","","","","","","19999.9995529652","","","","9999.99977648258","109999.997541308","","","","150000.005960464","129999.995231628","150000.005960464","129999.995231628","","","","","","","","","","","","","19999.9995529652","","","","","93.0807495117188","0.959890007972717","120000","7.55000007152557"
"Maldives","MDV","2003","6200000","57","97","27","1.67205197776432","","2.93521978102716","56.1647410970626","","","6239999.77111816","","","349999.994039536","140000.000596046","","","","","","","8769999.80583786","340000.003576279","-90000.0035762787","","","","20469999.3133545","17000000","20469999.3133545","17000000","","","-140000.000596046","","","740000.009536743","280000.001192093","","519999.980926514","","1639999.98569489","","","","","","1.01912999153137","6740000","31.5799989700318"
"Marshall Islands","MHL","1968","","","","86.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","MMR","2002","75450000","554","323","84.3","1.56102805589685","","4.713053163859","2.49527466457437","","8699999.80926514","49389999.3896484","","4170000.07629395","70000.0002980232","3859999.89509583","","","","","920000.016689301","910000.026226044","95039998.9895522","6449999.80926514","4820000.17166138","-1208092","","","156470001.220703","119029998.779297","156470001.220703","119029998.779297","","","","","","6480000.01907349","1450000.04768372","5320000.17166138","7420000.07629395","","4250000","759999.990463257","","","","76.6538314819336","0.964699983596802","58150000","75.4900016784668"
"Mongolia","MNG","1997","59060000","","","79.6","15.7022849089445","62.0849797813827","30.0301042262619","78.5830994542887","","3160000.08583069","77980003.3569336","","1820000.05245209","740000.009536743","540000.021457672","","","","","790000.021457672","","125490003.775805","670000.016689301","12000000","-52463","","","221059997.558594","183550003.051758","221059997.558594","183550003.051758","","","300000.011920929","","","3880000.11444092","850000.023841858","","790000.021457672","","2240000.00953674","","","","0.1","77.0954971313477","1.1657999753952","54010000","56.4499988555909"
"Mauritania","MRT","2008","209350000","151","819","101.7","8.7738962269764","26.4541348135039","","137.972484546749","2119999.88555908","45270000.4577637","14489999.7711182","","209999.993443489","","910000.026226044","","","","","1139999.98569489","1029999.97138977","184399998.448789","","25639999.3896484","","","","433660003.662109","454790008.544922","433660003.662109","454790008.544922","","150000.005960464","4539999.96185303","","319999.992847443","2140000.10490417","2990000.00953674","469999.998807907","2619999.88555908","","699999.988079071","6559999.94277954","","","0.6","","1.01476001739502","48780000","56.0600004196167"
"Mauritius","MUS","1996","14180000","","","22.7","0.464369004857731","1.86295336347159","0.704845066380788","17.9277527643008","39999.9991059303","20159999.8474121","4800000.19073486","2400000.09536743","150000.005960464","9999.99977648258","29999.9993294477","","","","","39999.9991059303","-479999.989271164","19250000.0614672","829999.983310699","-1000000","","","","27450000.7629395","20329999.9237061","27450000.7629395","20329999.9237061","","","-500000","","","569999.992847443","280000.001192093","","589999.973773956","","529999.971389771","200000.002980232","","","0.1","93.8568115234375","1.01572000980377","23070000","17.2299998998642"
"Mauritius","MUS","1976","6970000","","","55.3","2.39902908681893","7.85272253884209","4.4482554855672","18.7863973324481","50000.0007450581","1120000.00476837","19999.9995529652","","209999.993443489","","","","","","","","50000.0007450581","11809999.6708333","2059999.94277954","","","","","61720001.2207031","17030000.6866455","61720001.2207031","17030000.6866455","","","","","","1200000.04768372","","","170000.001788139","","39999.9991059303","800000.011920929","","","","","0.939300000667572","6150000",""
"Malaysia","MYS","1971","9200000","","","51.3","1.02268529866823","4.7907936312613","","3.81380794016118","59999.9986588955","","12340000.1525879","","109999.999403954","","","","","","","","19999.9995529652","38039999.6638298","9939999.5803833","4000000","","","","268769989.013672","42189998.626709","268769989.013672","42189998.626709","","","","","","2839999.91416931","","","490000.009536743","","660000.026226044","159999.996423721","","","","","","14660000",""
"OECD members","OED","1976","","","","","0.0215417730985253","0.0847485142667352","0.115224497811897","1.11881402149313","7129999.9691546","68850000.5751849","41649999.1714955","","14539999.7830391","379999.995231628","59999.9986588955","","","","","-410000.011324883","2429999.96803701","1005979998.62023","3670000.01668931","729000000","","","","3938920097.35108","1097730027.19879","3938920097.35108","1097730027.19879","","","","","","22720000.3862381","","780000.008642673","2109999.99940395","","2159999.9666214","19550000.1087785","","","","92.0928573608398","0.94857","",""
"Pakistan","PAK","2000","130680000","275","286","107.5","0.687044373560803","3.81210320111638","3.826904296875","3.86122074162759","70000.0002980232","33049999.2370605","280359985.351563","","19059999.4659424","219999.998807907","6670000.07629395","","","","","1679999.94754791","8899999.61853027","508529981.188477","23719999.3133545","88459999.0844727","","","","657059997.558594","549619995.117188","657059997.558594","549619995.117188","","","-1159999.9666214","","","4039999.96185303","649999.976158142","12430000.3051758","11550000.1907349","","3789999.96185303","2680000.0667572","","","0.1","","","71660000","63.6399993896484"
"Pakistan","PAK","1970","52690000","","","190","4.23646753447146","26.5746240028793","","7.23796116092797","2099999.90463257","4119999.88555908","39549999.2370605","","4230000.01907349","","3059999.94277954","","","","","10069999.6948242","370000.004768372","388650000.471622","21399999.6185303","211000000","","","","2474560058.59375","420829986.572266","2474560058.59375","420829986.572266","","","","","","4849999.90463257","","","2859999.89509583","","930000.007152557","90000.0035762787","","","","","","23950000",""
"French Polynesia","PYF","2011","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9500003755092"
"Qatar","QAT","1989","3360000","","","22.2","0.0746346037658258","","","10.8081643255145","","","2460000.03814697","","","","","","","","","","","3020000.00886619","","","","","","7059999.94277954","4989999.77111816","7059999.94277954","4989999.77111816","","","","","","449999.988079071","9999.99977648258","","","","59999.9986588955","","","","","74.1765899658203","1.06013000011444","1630000",""
"Rwanda","RWA","2009","800640000","95","424","70.7","16.5807664364254","78.3491858413675","","95.499536429866","82190002.4414063","104510002.13623","21340000.1525879","5409999.84741211","54220001.2207031","","3559999.94277954","219999.998807907","860000.014305115","","19999.9995529652","13350000.3814697","5789999.96185303","624809999.030083","89849998.4741211","145899993.896484","","","","938510009.765625","934250000","938510009.765625","934250000","","","6829999.92370605","","689999.997615814","7989999.77111816","2990000.00953674","2160000.08583069","9600000.38146973","","","1860000.01430511","","","3.3","69.3714065551758","1.00713002681732","86610000","78.3400001525879"
"Sudan","SDN","1986","672510000","","","138.5","6.12775993630847","41.2517993207833","102.118515643442","52.6391837854134","1330000.04291534","86169998.1689453","32720001.2207031","","52470001.2207031","","7420000.07629395","","","","","1529999.97138977","3730000.01907349","554889998.294413","37450000.7629395","148000000","","","","1964959960.9375","934739990.234375","1964959960.9375","934739990.234375","","","6849999.90463257","","","6070000.17166138","1450000.04768372","58139999.3896484","12899999.6185303","","2480000.01907349","19920000.0762939","","","","","","151850000",""
"Solomon Islands","SLB","1972","8210000","","","90.4","45.3296911695908","","","72.7904979404039","","","79999.9982118607","","","19999.9995529652","","","","","","","","12250000.1899898","12050000.1907349","","431","","","75900001.5258789","12560000.4196167","75900001.5258789","12560000.4196167","","","","","","219999.998807907","","","","","90000.0035762787","","","","","","","3620000",""
"Solomon Islands","SLB","2005","54130000","106","188","28.8","41.1248014839823","446.32800314616","78.6703443092709","418.775176277846","","22760000.2288818","14159999.8474121","","4909999.84741211","10420000.0762939","","","","","","","","195100004.252046","","19999.9995529652","","","","254380004.882813","196789993.286133","254380004.882813","196789993.286133","","","","","","","","","","","1460000.03814697","","","","","","0.916949987411499","143310000","77.2299966812134"
"Sierra Leone","SLE","1985","71630000","","","270.5","7.70273473175246","68.1621636144266","36.15964474032","16.7660715772145","9999.99977648258","8199999.80926514","2269999.98092651","","1429999.94754791","","90000.0035762787","","","","","","70000.0002980232","38520000.0684708","3700000.04768372","10000000","","","","165559997.558594","63799999.2370605","165559997.558594","63799999.2370605","","","3559999.94277954","","","4659999.84741211","529999.971389771","270000.010728836","500000","","839999.973773956","419999.986886978","","","","","0.639060020446777","21090000",""
"San Marino","SMR","1994","","","","9.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1.0263500213623","",""
"South Sudan","SSD","1962","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-Saharan Africa","SSF","2003","","357","812","134.6","5.00493979029696","21.591768738754","15.0455868099628","34.568280001877","1039220005.0503","2503299983.114","523389999.719337","61150000.769645","1017920000.80086","11960000.064224","576260000.275448","","113220000.524074","","0","678490001.861006","246149998.929352","19908280005.8145","1469950009.18582","4638459975.52015","","0","0","31814810087.204","24879349913.5971","31814810087.204","24879349913.5971","","","77970000.0919402","","","154239999.759942","95590000.6704032","251150000.816211","192809999.734163","","160569998.74115","202860000.08136","","","4.63558730824646","58.4016914367676","0.84569","","79.5464069985218"
"Syrian Arab Republic","SYR","2003","84150000","35","25","20.8","0.564416043014323","2.33336612315898","1.61580455015215","6.79807893199865","150000.005960464","58979999.5422363","-6619999.88555908","","5269999.98092651","50000.0007450581","1970000.02861023","","","","","790000.021457672","829999.983310699","87849998.7665564","29999.9993294477","50000.0007450581","","","","152880004.882813","118389999.389648","152880004.882813","118389999.389648","","","2160000.08583069","","","1210000.03814697","1649999.97615814","1080000.04291534","920000.016689301","","3170000.07629395","1039999.96185303","","","0.1","106.066139221191","0.946950018405914","58740000","39.7200012207032"
"Chad","TCD","1979","49200000","","","241.4","8.45664880138396","","66.6914487416157","19.1600547135046","159999.996423721","20729999.5422363","","","379999.995231628","","3349999.90463257","","","","","","1039999.96185303","70099999.986589","100000.001490116","11000000","","","","218080001.831055","84739997.8637695","218080001.831055","84739997.8637695","","","","","","1679999.94754791","","","409999.996423721","","270000.010728836","","","","","","","20560000",""
"Tajikistan","TJK","1980","","","","129.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia (IDA & IBRD)","TSA","1987","","","","","1.39226521158516","6.02419498137133","12.1680096535291","4.55731090377592","4929999.9922514","168200002.461672","969910004.101693","","227870002.30886","539999.993517995","98320000.8273125","","","","","114950000.286102","53780000.925064","3062950011.48991","196630001.604557","359000000","-1914631","","","8285529993.05726","4831699957.84759","8285529993.05726","4831699957.84759","","","95249999.4039536","","","108579999.566078","13619999.8557568","79400001.5258789","85440000.6830693","","22820000.231266","169239995.727316","","","","60.2407493591309","0.65287","",""
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1976","","","","","2.31347103977563","","","8.98172495891674","152259999.180213","293890003.344044","45859999.5709956","","100609999.924898","640000.002458691","56810000.1960993","","","","","143830001.279712","14100000.0145286","2094780001.14113","139259999.118745","223000000","","","","11000570023.0598","3071920022.87507","11000570023.0598","3071920022.87507","","","","","","104970000.790432","","20159999.858588","19260000.04448","","15980000.006035","72200000.5543232","","","","49.468189239502","0.73889","",""
"Turkey","TUR","1999","120610000","","","41.6","0.0049238937138348","0.0227564044592361","0.0232111559142121","0.19987993732576","-3759999.99046326","20340000.1525879","-45590000.1525879","1110000.01430511","3259999.99046326","170000.001788139","4050000.19073486","","","","","1500000","4480000.01907349","-42559999.2349745","2299999.95231628","-72779998.7792969","","","","45970001.2207031","12449999.8092651","45970001.2207031","12449999.8092651","","","3160000.08583069","","","620000.004768372","790000.021457672","4829999.92370605","1220000.02861023","","1470000.02861023","","","","","","0.797439992427826","130260000","41.8199996948242"
"United States","USA","1991","","","","10.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.99838000535965","","5.44999983906746"
"Uzbekistan","UZB","1987","","","","77.9","","","","","","","","","","","","","","","","","","","","","-356031","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uzbekistan","UZB","2018","114850000","70","","18.4","1.07506431401773","2.94142433801892","2.2193087653089","16.9304020188267","9999.99977648258","27790000.9155273","189380004.882813","129999.995231628","","","0","-90000.0035762787","0","0","0","9999.99977648258","3140000.10490417","283490004.41283","2990000.00953674","8630000.11444092","","","","557960021.972656","557960021.972656","557960021.972656","557960021.972656","476669.996976852","704115.986824036","5408180.23681641","701034.188270569","","1047887.80212402","820729.970932007","","3260744.57168579","","","","1121682.76309967","","0.2","103.023628234863","0.988600015640259","41310000","35.1900000572205"
"British Virgin Islands","VGB","2017","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4976272583008","1.0144499540329","",""
"Vietnam","VNM","2005","504410000","266","54","24.9","2.99332360813394","8.70438089451763","4.13778718218041","20.2007181934501","16299999.2370605","42409999.8474121","602659973.144531","11920000.0762939","56099998.4741211","3259999.99046326","15449999.8092651","810000.002384186","9999.99977648258","","","41930000.3051758","18239999.7711182","1313769965.13084","96620002.746582","28139999.3896484","","","","1813930053.71094","1693479980.46875","1813930053.71094","1693479980.46875","","","7199999.80926514","","340000.003576279","6500000","5639999.8664856","170000.001788139","5139999.8664856","","5150000.09536743","","","","0.3","93.7576904296875","","309100000","71.6599979400635"
"Albania","ALB","1986","","","","51.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.936429977416992","",""
"Armenia","ARM","1967","","","","","","","","","","","","","","","","","","","","","","","","","103399","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","2004","","6.2","5","5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","12.2299999296666"
"Canada","CAN","2004","","5.6","10","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.179999768734"
"Canada","CAN","2005","","5.5","11","6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.984269976615906","","10.2299996912479"
"Cote d'Ivoire","CIV","1970","11900000","","","243.5","3.70382340271886","16.0588654583527","","10.3056214107323","230000.004172325","12250000","","","560000.002384186","","","","","","","","39999.9991059303","48969999.3990362","79999.9982118607","3000000","","","","350970001.220703","52580001.8310547","350970001.220703","52580001.8310547","","","","","","2869999.88555908","","","140000.000596046","","90000.0035762787","509999.990463257","","","","","","20770000",""
"Cameroon","CMR","2010","360180000","260","597","110.1","2.08542173008487","8.89595186799942","8.05154062453036","26.5583655029001","4250000","74220001.2207031","42029998.7792969","239999.994635582","170000.001788139","","400000.005960464","109999.999403954","","","","620000.004768372","2220000.02861023","341319999.650121","1029999.97138977","18379999.1607666","","","","526669982.910156","540229980.46875","526669982.910156","540229980.46875","","639999.985694885","3109999.89509583","","540000.021457672","3869999.88555908","4099999.90463257","3349999.90463257","6400000.09536743","","","5159999.84741211","","","4.3","71.679931640625","","155100000","77.6200008392334"
"Congo, Dem. Rep.","COD","1963","104390000","","","","","","","6.77324535282473","64330001.8310547","1320000.05245209","","","","","","","","","","","90000.0035762787","105710001.925007","","36000000","","","","926799987.792969","111500000","926799987.792969","111500000","","","","","","","","","","","","","","","","","","9610000",""
"Comoros","COM","2002","8170000","37","429","99.6","6.4862399404974","35.886282455866","","48.4301466666188","0","1779999.97138977","","","9999.99977648258","","19999.9995529652","","","","","","","12800000.237301","","9999.99977648258","-10000","","","40729999.5422363","27579999.9237061","40729999.5422363","27579999.9237061","","","720000.028610229","","","689999.997615814","629999.995231628","","610000.014305115","","1730000.01907349","","","","0.1","58.1392211914063","0.82888001203537","10320000","64.7599983215332"
"Costa Rica","CRI","2018","31280000","10","","8.7","0.168378172490376","0.901557317969131","0.424111319571189","19.8742141095221","50000.0007450581","29610000.6103516","32090000.1525879","409999.996423721","850000.023841858","200000.002980232","","","0","","","79999.9982118607","239999.994635582","84510001.3185293","860000.014305115","10300000.1907349","","","","99360000.6103516","99360000.6103516","99360000.6103516","99360000.6103516","68790.3985381126","342343.002557755","","884396.910667419","","239506.527781487","404150.009155273","314341.306686401","1457262.8736496","","","","101797.007024288","97.6","0.4","98.594367980957","1.04136002063751","24400000","21.0399992465972"
"Curacao","CUW","2018","","6.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","CYP","1964","3940000","","","","","","","9.05590426166407","","","","","","","","","","","","","","4459999.99716877","1610000.01430511","2000000","","","","37880001.0681152","5239999.77111816","37880001.0681152","5239999.77111816","","","","","","","","","","","","","","","","","","880000",""
"Cyprus","CYP","1969","2400000","","","","","","","6.17038513685673","9999.99977648258","","","","","","","","","","","","","1209999.99716878","59999.9986588955","1000000","","","","22579999.9237061","3740000.00953674","22579999.9237061","3740000.00953674","","","","","","1120000.00476837","","","","","79999.9982118607","1330000.04291534","","","","","","1800000",""
"Czech Republic","CZE","1982","","","","15","","","","","","","","","","","","","","","","","","","","","-52946","","","","","","","","","","","","","","","","","","","","","","","1.04683005809784","",""
"Algeria","DZA","1962","353310000","","","242","18.048674378408","56.0896884887696","","34.2199561717104","","","","","","","","","","","","109999.999403954","","396310006.126762","","38000000","-282941","","","3230919921.875","397630004.882813","3230919921.875","397630004.882813","","","","","","","","","","","","","","","","","","1320000",""
"East Asia & Pacific (excluding high income)","EAP","2012","","158","85","20.7387199265728","0.0831533080222364","0.19289427819257","0.278564483582429","4.44665311963133","32930000.4839897","629389999.806881","-107480053.26651","34380001.0830164","12409999.974072","281369999.358431","122399997.9496","51659999.076277","29149998.8883734","199999.995529652","39999.9991059303","109770000.120625","124600001.189858","7042329999.91625","214169999.079779","998410008.171573","-3768254","","","8283430050.84991","8868360128.40271","8283430050.84991","8868360128.40271","","4169999.96639788","82230000.1420081","14835981.6744924","8369316.52971543","55306847.9431367","39657014.9906911","13340799.7228205","58217925.131321","15769.999474287","0","18776964.4856453","28599583.6816728","","","95.392463684082","0.99802","","49.4181065416274"
"Early-demographic dividend","EAR","1988","","","","","1.21115005387657","5.33744172764336","5.10603598045439","9.24300573113745","81579999.3295222","795130004.562438","3668649914.59623","","679910008.935257","18609999.9751896","180009999.787435","","","","","291669999.025762","173140001.91167","14511729938.047","494529992.137105","3831000000","","","","29178790106.7734","17906280151.1288","29178790106.7734","17906280151.1288","","","57489999.0670383","","","341030000.239611","38030000.180006","216990004.198626","175980000.337586","","49820000.3597885","416869998.686016","","","","70.1521224975586","0.78351","",""
"East Asia & Pacific","EAS","2008","","155","93","25.1","0.0592740285140925","0.189850215337585","0.164121835597775","3.87879101555334","45779999.8857081","507309996.958822","86749983.6161733","39210000.8018315","171699997.335672","201319996.580482","157150000.263005","20479999.5012581","40020001.7057359","1530000.06079674","509999.997913837","165719998.292625","67010000.9012967","6823269937.49291","544949991.589412","931759994.853288","","","","8362700039.38675","8444590152.26364","8362700039.38675","8444590152.26364","","5729999.95946884","49200000.0178814","","7839999.91416931","61679999.8488277","41299999.9821186","12709999.7680634","59790000.0214577","0","98340002.2089481","23280000.0309944","","","","97.1078033447266","0.99358","","49.3338719084417"
"Spain","ESP","2010","","17","4","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","96.7892532348633","1.01059997081757","","11.1799996495246"
"France","FRA","2004","","10","9","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8","","","1.0014899969101","","6.67000019550324"
"United Kingdom","GBR","1968","","","","21.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","GIN","1988","65530000","","","241.5","11.3159852077516","62.5821814947199","28.8475036448448","42.6177498700986","370000.004768372","12289999.961853","26530000.6866455","","560000.002384186","","490000.009536743","","","","","159999.996423721","579999.983310699","171809998.307377","1169999.95708466","13000000","","","","414109985.351563","254960006.713867","414109985.351563","254960006.713867","","","","","","10890000.3433228","930000.007152557","","1480000.01907349","","1000000","2509999.99046326","","","","11.3107795715332","","40680000",""
"Gambia, The","GMB","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8","1.8","","","",""
"Greece","GRC","2003","","6.1","3","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","0.994270026683807","","31.4199995994568"
"Grenada","GRD","1985","11690000","","","28.9","21.1769855739937","","38.3485365864584","344.261801520836","","2349999.90463257","29999.9993294477","","50000.0007450581","","","","","","","","9999.99977648258","32909999.6928126","1789999.96185303","24000000","","","","75080001.8310547","34409999.8474121","75080001.8310547","34409999.8474121","","","490000.009536743","","","189999.997615814","29999.9993294477","","","","109999.999403954","","","","","83.4839782714844","1.02205002307892","20450000",""
