"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"Central African Republic","CAF","1966","3300000","","","247.8","9.94140698145997","46.9185875085161","","9.36032396966926","","4110000.1335144","","","","","","","","","","","","15009999.7315556","","959999.978542328","","","","115760002.13623","15659999.8474121","115760002.13623","15659999.8474121","","","","","","","","","","","","","","","","","","12030000",""
"Chile","CHL","1960","15940000","","","157.1","0.427420086712516","2.98327825832609","","2.12222128311044","","","9999.99977648258","","200000.002980232","","","","","","","","","16459999.980405","29999.9993294477","7000000","","","","128529998.779297","17260000.2288818","128529998.779297","17260000.2288818","","","","","","","","","","","","","","","","","","800000",""
"China","CHN","2014","289850000","67","31","11.6","-0.0090291885398918","-0.0197290961782765","-0.0383790590288301","-0.694195435891883","-3440000.05722046","61979999.5422363","-885669982.910156","460000.00834465","389999.985694885","850000.023841858","19920000.0762939","-13359999.6566772","9800000.19073486","140000.000596046","9999.99977648258","3289999.96185303","18100000.3814697","-300969980.794936","-55319999.6948242","32139999.3896484","","","","-928450012.207031","-947070007.324219","-928450012.207031","-947070007.324219","","529999.971389771","26209999.0844727","1257240.05699158","1208734.63153839","3485530.37643433","3997893.09501648","","8713480.94940186","","","","4302966.59469604","96.2","","","1.00947999954224","552470000","45.9200019836426"
"Cyprus","CYP","1974","8910000","","","30.4","","","","33.0830953945217","250000","2759999.99046326","19999.9995529652","","460000.00834465","","180000.007152557","","","","","","860000.014305115","8819999.92392957","730000.019073486","","","","","92580001.8310547","21250000","92580001.8310547","21250000","","","","","","819999.992847443","","8729999.54223633","170000.001788139","","170000.001788139","2519999.98092651","","","","86.5982666015625","0.979860007762909","11400000",""
"Dominica","DMA","1962","","","","114.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","DOM","1970","9280000","","","123.5","2.37975875141285","12.3533635286083","8.97088893465659","7.80714921235472","","","9999.99977648258","","","","","","","","","","","32220000.0006706","39999.9991059303","32000000","","","","182470001.220703","35130001.0681152","182470001.220703","35130001.0681152","","","","","","1379999.99523163","","","119999.997317791","","129999.995231628","1279999.97138977","","","","","","4850000",""
"Algeria","DZA","2012","81960000","73","116","26.2","0.0717982188791462","0.179982732023803","0.209974076411199","3.94073414665011","6559999.94277954","45099998.4741211","2000000","0","150000.005960464","","189999.997615814","9999.99977648258","19999.9995529652","","","2619999.88555908","2470000.02861023","144049996.256828","3410000.08583069","10739999.7711182","-143268","","","143720001.220703","147320007.324219","143720001.220703","147320007.324219","","639999.985694885","","183236.464858055","233243.79324913","722713.649272919","427473.00863266","","721964.538097382","","","451876.3422966","49855.7314276695","92.7","0.1","101.552879333496","","168570000","28.1999998092652"
"Fragile and conflict affected situations","FCS","1986","","","","","2.45795161841652","9.30156125676998","","17.9308465368849","198790006.084368","424439992.815256","450220002.187415","","217640001.975","5289999.91714954","84619999.4403868","","","","","141669999.048114","64469999.8237193","4621359991.36046","116640002.237633","666000000","","","","15051309861.3024","7122760003.38793","15051309861.3024","7122760003.38793","","","68649999.3726611","","","185579999.320209","12700000.0793487","152080002.261326","90209998.7864495","","33020000.0349432","190019999.155775","","","","60.4391899108887","0.78171","",""
"Fiji","FJI","2008","19770000","16","42","23.7","1.3119552336659","5.46265221472228","1.63096275690512","53.3266479815068","","6030000.20980835","6309999.94277954","","-90000.0035762787","3849999.90463257","","","","","","","","40339999.4894862","750000","1269999.98092651","","","","46389999.3896484","45080001.8310547","46389999.3896484","45080001.8310547","","","","","479999.989271164","2250000","1830000.04291534","","","","129999.995231628","","","100","0.1","105.878280639648","1.03134000301361","26720000","41.2399997711181"
"United Kingdom","GBR","1998","","","","6.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0025600194931","","9.36999976634979"
